PlayerName;Pos;Team;TacklesTot;TacklesAst;TacklesSck;TacklesTfl;TurnoverInt;TurnoverFrcFum;TurnoverFumRec;ScoreIntTd;ScoreFumTd;ScoreBlkTd;ScoreSaf;ScoreDef2ptRet;Blk;PDef;QBHit;ReturnIntYds;ReturnFumYds;TotalPoints;Rank
Cody Barton;LB;SEA;9;14;-;-;-;-;1;-;-;-;-;-;-;1;1;-;-;19.50;136
C.J. Mosley;LB;NYJ;4;5;-;-;1;-;1;1;-;-;-;-;-;2;-;17;-;19.07;137
Dylan Cole;LB;HOU;13;3;-;-;-;-;1;-;-;-;-;-;-;1;-;-;27;18.40;138
David Long;LB;TEN;9;6;-;2;-;1;-;-;-;-;-;-;-;1;-;-;-;18.00;139
Derick Roberson;LB;TEN;5;1;3;3;-;-;-;-;-;-;-;-;-;-;3;-;-;17.50;140
Sione Takitaki;LB;CLE;14;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;17.50;141
Tyler Matakevich;LB;BUF;16;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;17.00;142
Harvey Langi;LB;NYJ;10;6;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;15.50;143
Frankie Luvu;LB;NYJ;10;2;1;1;-;-;-;-;-;-;-;-;-;-;2;-;-;15.50;144
Tanner Vallejo;LB;ARI;8;-;1;2;-;1;-;-;-;-;-;-;-;-;1;-;-;15.50;145
Duke Riley;LB;PHI;12;2;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;15.00;146
Azeez Al-Shaair;LB;SF;11;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14.50;147
Peter Kalambayi;LB;HOU;10;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14.00;148
Isaiah Irving;LB;CHI;11;3;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;13.00;149
Marquel Lee;LB;LV;11;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;12.50;150
Mark Nzeocha;LB;SF;8;2;-;-;1;-;-;-;-;-;-;-;-;1;-;1;-;12.03;151
Tyrell Adams;LB;HOU;7;6;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;12.00;152
Justin March-Lillard;LB;DAL;10;2;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;12.00;153
Chris Board;LB;BAL;6;4;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;11.50;154
Christian Kirksey;LB;GB;6;5;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;11.50;155
Obo Okoronkwo;LB;LA;3;4;1.5;1;-;-;-;-;-;-;-;-;-;-;4;-;-;11.50;156
Alex Anzalone;LB;NO;7;-;1;1;-;-;-;-;-;-;-;-;-;-;1;-;-;11.00;157
Jatavis Brown;LB;PHI;8;2;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;11.00;158
Dennis Gardeck;LB;ARI;7;4;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;11.00;159
Matthew Adams;LB;IND;8;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;10.50;160
Ola Adeniyi;LB;PIT;5;3;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;10.50;161
Ben Gedeon;LB;MIN;8;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10.50;162
Christian Miller;LB;CAR;2;1;2;2;-;-;-;-;-;-;-;-;-;-;2;-;-;10.50;163
Josiah Tauaefa;LB;NYG;5;1;-;2;-;1;-;-;-;-;-;-;-;-;-;-;-;10.50;164
Tae Davis;LB;CLE;7;5;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;10.00;165
Jordan Evans;LB;CIN;6;6;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;10.00;166
Robert Spillane;LB;PIT;8;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9.50;167
Oren Burks;LB;GB;7;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9.00;168
Dorian O'Daniel;LB;KC;5;3;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;8.50;169
Ben Burr-Kirven;LB;SEA;3;5;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;7.50;170
Anthony Nelson;LB;TB;1;7;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;7.50;171
Kyle Wilber;LB;LV;5;1;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;7.50;172
LaRoy Reynolds;LB;ATL;5;1;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;7.00;173
E.J. Speed;LB;IND;4;3;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;7.00;174
Corey Thompson;LB;BUF;4;3;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;7.00;175
Joe Jones;LB;DEN;5;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6.50;176
Elijah Lee;LB;DET;3;4;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;6.50;177
Barkevious Mingo;LB;CHI;5;1;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;6.50;178
Genard Avery;LB;PHI;3;3;0.5;-;-;-;-;-;-;-;-;-;-;-;1;-;-;6.00;179
Calvin Munson;LB;MIA;5;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6.00;180
Cameron Smith;LB;MIN;4;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6.00;181
Zeke Turner;LB;ARI;5;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6.00;182
Nick Dzubnar;LB;TEN;3;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5.50;183
Shaquem Griffin;LB;SEA;3;2;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;5.50;184
Zaire Franklin;LB;IND;4;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5.00;185
Jordan Kunaszyk;LB;CAR;3;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5.00;186
Andre Smith;LB;CAR;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5.00;187
Devante Bond;LB;CHI;3;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;4.50;188
Luke Gifford;LB;DAL;3;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4.50;189
Emeke Egbule;LB;LAC;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4.00;190
Ulysees Gilbert;LB;PIT;3;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4.00;191
Jermaine Grace;LB;CLE;2;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4.00;192
Josh Woods;LB;CHI;3;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4.00;193
Joel Iyiegbuniwe;LB;CHI;3;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3.50;194
Alex Singleton;LB;PHI;2;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3.50;195
Kylie Fitts;LB;ARI;2;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3.00;196
Ty Summers;LB;GB;2;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3.00;197
James Vaughters;LB;CHI;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3.00;198
Joe Giles-Harris;LB;JAX;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2.50;199
Josh Harvey-Clemons;LB;WAS;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2.50;200
Chris Covington;LB;FA;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2.00;201
Natrez Patrick;LB;LA;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2.00;202
Josh Watson;LB;DEN;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2.00;203
Tim Williams;LB;GB;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2.00;204
Jason Cabinda;LB;DET;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1.50;205
Ahmad Gooden;LB;NYJ;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1.50;206
Dakota Allen;LB;JAX;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1.00;207
Malik Jefferson;LB;LAC;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1.00;208
Robert McCray;LB;CLE;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1.00;209
Anthony Pittman;LB;DET;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1.00;210
Ahmad Thomas;LB;ATL;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1.00;211
Jack Cichy;LB;TB;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0.50;212
James Crawford;LB;MIA;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0.50;213
Kaden Elliss;LB;NO;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0.50;214
Willie Harvey;LB;CLE;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0.50;215
Sam Acho;LB;TB;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0.00;216
Aaron Adeoye;LB;BAL;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0.00;217
Solomon Ajayi;LB;CLE;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0.00;218
Otaro Alaka;LB;BAL;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0.00;219
D.J. Alexander;LB;JAX;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0.00;220
Lorenzo Alexander;LB;BUF;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0.00;221
Joey Alfieri;LB;SF;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0.00;222
Chase Allen;LB;MIA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0.00;223
Stephone Anthony;LB;NO;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0.00;224
Ray-Ray Armstrong;LB;DAL;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0.00;225
Joe Bachie;LB;NO;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0.00;226
