id,round,lastName,firstName,position,team,keeper,keeperVale
66939,5,Chase,Ja&#39;Marr,WR,Cincinnati Bengals,False,5
67054,6,Carter,Michael,RB,New York Jets,False,6
36283,6,Jones II,Ronald,RB,Kansas City Chiefs,False,6
47346,6,Conner,James,RB,Arizona Cardinals,False,6
46950,6,Golladay,Kenny,WR,New York Giants,False,6
56383,6,Fant,Noah,TE,Seattle Seahawks,False,6
36234,6,Goedert,Dallas,TE,Philadelphia Eagles,False,6
66951,6,Smith,DeVonta,WR,Philadelphia Eagles,False,6
59912,6,Tonyan,Robert,TE,Green Bay Packers,False,6
59294,6,Leonard,Darius,LB,Indianapolis Colts,False,6
63744,6,Shenault Jr.,Laviska,WR,Jacksonville Jaguars,False,6
36198,6,Michel,Sony,RB,Miami Dolphins,False,6
57312,6,White,Devin,LB,Tampa Bay Buccaneers,False,6
56889,7,Smith,Roquan,LB,Chicago Bears,False,7
57550,7,Wagner,Bobby,LB,Los Angeles Rams,False,7
46988,7,Williams,Jamaal,RB,Detroit Lions,False,7
59941,7,Martinez,Blake,LB,New York Giants,False,7
36250,7,Sutton,Courtland,WR,Denver Broncos,False,7
36246,7,Warner,Fred,LB,San Francisco 49ers,False,7
60236,7,Baker,Budda,DB,Arizona Cardinals,False,7
18187,7,Schobert,Joe,LB,Pittsburgh Steelers,False,7
47347,7,Smith-Schuster,JuJu,WR,Kansas City Chiefs,False,7
46345,7,Boyd,Tyler,WR,Cincinnati Bengals,False,7
59247,7,Cunningham,Zach,LB,Tennessee Titans,False,7
59559,7,Waller,Darren,TE,Las Vegas Raiders,True,3
59136,8,Garrett,Myles,DL,Cleveland Browns,False,8
63619,8,Young,Chase,DL,Washington Redskins,False,8
63604,8,Queen,Patrick,LB,Baltimore Ravens,False,8
47421,8,Wilson,Russell,QB,Denver Broncos,False,8
63634,8,Moss,Zack,RB,Buffalo Bills,False,8
59002,8,Adams,Jamal,DB,Seattle Seahawks,False,8
55719,8,Edmunds,Tremaine,LB,Buffalo Bills,False,8
54603,8,Singletary,Devin,RB,Buffalo Bills,False,8
2856,8,Poyer,Jordan,DB,Buffalo Bills,False,8
47221,8,Higbee,Tyler,TE,Los Angeles Rams,False,8
7613,8,Cooks,Brandin,WR,Houston Texans,False,8
59530,8,Bosa,Joey,LB,Los Angeles Chargers,False,8
